                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.58757,                0.60255,                 1.1176,                0.84939,                0.80793,                0.85042,                0.70509,                0.72077,                0.76682,                 1.2409,             0.00036513,             0.00036513,             0.00036513
                     66,                0.58276,                0.60232,                 1.1094,                0.84253,                0.79706,                0.84414,                0.69445,                0.72277,                0.79817,                 1.2383,               0.000361,               0.000361,               0.000361
                     67,                0.59106,                0.59689,                 1.1134,                0.84636,                0.79363,                 0.8383,                0.69464,                0.73673,                0.83207,                 1.2551,             0.00035687,             0.00035687,             0.00035687
                     68,                 0.5706,                0.59238,                 1.1067,                 0.8535,                 0.7983,                0.84946,                0.70947,                 0.7126,                0.79932,                 1.2259,             0.00035275,             0.00035275,             0.00035275
                     69,                0.57051,                0.58744,                   1.11,                0.85856,                0.79035,                0.84384,                0.71191,                0.69482,                0.79482,                 1.2157,             0.00034862,             0.00034862,             0.00034862
                     70,                0.57158,                0.59127,                 1.0956,                0.82171,                0.79464,                0.83276,                0.69745,                0.70828,                 0.8064,                 1.2349,              0.0003445,              0.0003445,              0.0003445
                     71,                0.57369,                0.59425,                 1.1121,                0.88046,                0.77175,                0.84599,                0.70129,                0.72544,                0.80245,                 1.2363,             0.00034038,             0.00034038,             0.00034038
                     72,                0.57774,                0.58383,                 1.1097,                  0.871,                0.78626,                0.84015,                0.69701,                0.72524,                0.80399,                 1.2405,             0.00033625,             0.00033625,             0.00033625
                     73,                0.56924,                0.56511,                 1.1094,                0.87072,                0.81575,                0.84598,                0.70491,                0.71244,                0.78712,                 1.2402,             0.00033213,             0.00033213,             0.00033213
                     74,                0.57364,                0.58138,                 1.1084,                0.86748,                0.79141,                0.84602,                0.70956,                0.69959,                0.80745,                 1.2257,               0.000328,               0.000328,               0.000328
                     75,                0.55358,                0.56852,                 1.0928,                0.86006,                0.80392,                0.84778,                 0.7042,                0.71013,                0.78904,                 1.2414,             0.00032387,             0.00032387,             0.00032387
                     76,                 0.5703,                0.57154,                 1.0955,                0.87177,                0.79287,                0.85141,                0.71078,                0.70628,                0.75805,                 1.2254,             0.00031975,             0.00031975,             0.00031975
                     77,                0.55568,                0.55192,                 1.0944,                0.85529,                0.80771,                0.84805,                0.70614,                0.69911,                0.78101,                 1.2246,             0.00031562,             0.00031562,             0.00031562
                     78,                0.55536,                0.55712,                 1.0939,                0.86402,                0.79445,                0.84737,                0.70836,                0.71659,                0.78365,                 1.2449,              0.0003115,              0.0003115,              0.0003115
                     79,                0.54583,                0.53932,                 1.0827,                0.85731,                0.79319,                0.84505,                0.70774,                0.69843,                0.81549,                 1.2408,             0.00030738,             0.00030738,             0.00030738
                     80,                0.54038,                0.54585,                 1.0844,                0.86741,                0.79876,                0.84886,                0.70471,                0.70154,                0.77002,                 1.2429,             0.00030325,             0.00030325,             0.00030325
                     81,                0.54612,                0.53939,                 1.0889,                0.84752,                0.78683,                0.83583,                0.69848,                0.70612,                0.83614,                 1.2253,             0.00029913,             0.00029913,             0.00029913
                     82,                0.54475,                0.52161,                 1.0871,                 0.8987,                0.78305,                0.85185,                0.71082,                0.70605,                0.79767,                 1.2269,               0.000295,               0.000295,               0.000295
                     83,                0.53349,                0.54124,                 1.0795,                0.88757,                0.78951,                0.84904,                0.71022,                0.70549,                0.80091,                 1.2333,             0.00029088,             0.00029088,             0.00029088
                     84,                0.54139,                0.52798,                 1.0885,                0.87754,                0.79699,                0.84941,                0.70807,                0.69599,                0.78617,                  1.222,             0.00028675,             0.00028675,             0.00028675
                     85,                0.54116,                0.52542,                 1.0892,                0.85322,                0.80512,                 0.8462,                0.71078,                0.69711,                0.77063,                 1.2315,             0.00028262,             0.00028262,             0.00028262
                     86,                0.51782,                0.50463,                 1.0713,                0.86191,                0.79441,                0.83998,                0.70215,                0.69803,                0.80335,                 1.2333,              0.0002785,              0.0002785,              0.0002785
                     87,                0.52795,                0.52514,                  1.078,                0.85998,                 0.7993,                 0.8487,                0.71262,                0.70441,                0.81997,                 1.2459,             0.00027437,             0.00027437,             0.00027437
                     88,                0.53234,                0.51703,                 1.0784,                0.85261,                0.80427,                  0.845,                0.71291,                0.70397,                0.82144,                 1.2352,             0.00027025,             0.00027025,             0.00027025
                     89,                0.52882,                0.51722,                 1.0857,                0.87085,                0.80266,                0.84509,                0.71237,                 0.6766,                0.77593,                 1.2126,             0.00026613,             0.00026613,             0.00026613
                     90,                0.52996,                0.51774,                 1.0751,                0.85524,                0.80788,                0.85007,                 0.7098,                0.68934,                0.76943,                 1.2145,               0.000262,               0.000262,               0.000262
                     91,                0.51938,                0.50837,                 1.0665,                0.85731,                0.80493,                 0.8494,                0.70922,                0.70777,                0.78822,                  1.267,             0.00025787,             0.00025787,             0.00025787
                     92,                0.52077,                0.49749,                 1.0759,                0.87856,                0.79058,                0.85093,                0.72377,                0.68755,                0.78202,                 1.2289,             0.00025375,             0.00025375,             0.00025375
                     93,                0.52573,                0.51406,                 1.0756,                0.85874,                0.79754,                0.84868,                0.71634,                0.69465,                0.76987,                 1.2306,             0.00024963,             0.00024963,             0.00024963
                     94,                0.53135,                0.50916,                 1.0775,                0.86197,                0.81313,                0.84341,                0.70692,                0.71667,                0.81334,                 1.2478,              0.0002455,              0.0002455,              0.0002455
                     95,                0.50887,                0.49474,                 1.0661,                0.85634,                0.81419,                0.84342,                 0.7073,                0.69784,                0.78753,                 1.2455,             0.00024137,             0.00024137,             0.00024137
                     96,                0.50263,                0.48515,                 1.0628,                0.86936,                0.80275,                0.84886,                0.71572,                0.68322,                0.78454,                 1.2298,             0.00023725,             0.00023725,             0.00023725
