                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.60535,                0.56911,                 1.1149,                0.89148,                 0.8377,                0.88974,                0.71682,                0.77142,                0.62666,                 1.3063,              0.0078418,              0.0078418,              0.0078418
                    112,                0.60486,                 0.5612,                 1.1114,                0.87667,                0.84174,                0.87999,                0.70999,                0.78103,                0.70579,                 1.3148,               0.007822,               0.007822,               0.007822
                    113,                0.60229,                0.57621,                 1.1184,                0.85123,                0.85985,                 0.8857,                0.71143,                0.75611,                0.66657,                 1.2946,              0.0078022,              0.0078022,              0.0078022
                    114,                0.60684,                0.55707,                 1.1108,                0.89083,                0.83766,                0.89241,                 0.7152,                0.76336,                 0.6463,                 1.3026,              0.0077824,              0.0077824,              0.0077824
                    115,                0.60976,                0.54664,                 1.1118,                0.89896,                0.83241,                0.88594,                0.70938,                0.77139,                0.66999,                 1.3104,              0.0077626,              0.0077626,              0.0077626
                    116,                0.59603,                0.54915,                 1.1098,                0.88183,                0.84716,                0.89377,                0.71676,                0.77189,                0.65127,                 1.2814,              0.0077428,              0.0077428,              0.0077428
                    117,                0.60053,                0.57176,                 1.1168,                0.88792,                 0.8228,                0.88683,                0.70753,                0.79027,                0.66886,                 1.3306,               0.007723,               0.007723,               0.007723
                    118,                0.58804,                0.55842,                 1.1033,                  0.882,                0.84679,                0.89095,                0.71899,                0.76276,                0.64863,                 1.2975,              0.0077032,              0.0077032,              0.0077032
                    119,                0.61108,                0.56423,                 1.1216,                0.91677,                0.82492,                0.89795,                0.72443,                0.77413,                0.65271,                 1.2995,              0.0076834,              0.0076834,              0.0076834
                    120,                0.60037,                0.56123,                 1.1149,                 0.8795,                0.84493,                 0.8842,                0.71171,                0.77925,                0.68725,                 1.3152,              0.0076636,              0.0076636,              0.0076636
                    121,                0.59877,                0.54832,                 1.1145,                0.85401,                0.86652,                0.88827,                0.71348,                0.76203,                0.66683,                 1.3009,              0.0076438,              0.0076438,              0.0076438
                    122,                0.58823,                 0.5593,                 1.1139,                0.91054,                0.80863,                0.88491,                   0.71,                0.78604,                0.66622,                 1.3204,               0.007624,               0.007624,               0.007624
                    123,                0.59133,                0.55083,                 1.1069,                0.87258,                0.85727,                 0.8914,                0.72108,                0.75801,                0.64384,                 1.2942,              0.0076042,              0.0076042,              0.0076042
                    124,                0.59833,                0.55351,                 1.1125,                 0.8996,                0.82398,                 0.8841,                0.71508,                0.76845,                0.65558,                 1.3101,              0.0075844,              0.0075844,              0.0075844
                    125,                0.59096,                0.54767,                 1.1115,                 0.8988,                0.84556,                0.89535,                0.72033,                0.76986,                0.63158,                 1.3058,              0.0075646,              0.0075646,              0.0075646
                    126,                0.59579,                0.54531,                 1.1091,                 0.8825,                0.84232,                0.89035,                 0.7184,                0.77629,                0.63892,                 1.3203,              0.0075448,              0.0075448,              0.0075448
                    127,                0.59608,                0.55172,                 1.1127,                0.86897,                0.84017,                0.88386,                0.71506,                0.76243,                0.64236,                 1.2964,               0.007525,               0.007525,               0.007525
                    128,                0.58206,                0.53526,                 1.1033,                0.88945,                0.84113,                 0.8924,                0.72161,                0.76685,                0.62908,                 1.2979,              0.0075052,              0.0075052,              0.0075052
                    129,                0.59156,                0.54605,                 1.1107,                0.87823,                0.85981,                0.89239,                0.71798,                0.78224,                0.64257,                  1.314,              0.0074854,              0.0074854,              0.0074854
                    130,                0.59212,                0.54956,                 1.1135,                0.87385,                0.84897,                0.88424,                0.71204,                0.78285,                0.63866,                 1.3166,              0.0074656,              0.0074656,              0.0074656
                    131,                0.58388,                 0.5387,                 1.0963,                0.89669,                0.82827,                0.89188,                 0.7156,                0.79215,                0.65341,                 1.3382,              0.0074458,              0.0074458,              0.0074458
                    132,                0.58044,                0.53201,                 1.0968,                0.89443,                0.83903,                0.89356,                 0.7216,                0.77105,                 0.6202,                 1.3173,               0.007426,               0.007426,               0.007426
                    133,                0.57871,                0.53259,                 1.1032,                0.88949,                0.84788,                 0.8931,                0.71415,                0.78679,                0.63105,                  1.343,              0.0074062,              0.0074062,              0.0074062
                    134,                0.58063,                0.53332,                 1.1038,                0.89167,                0.85669,                0.89161,                0.72002,                0.75318,                0.62693,                 1.2961,              0.0073864,              0.0073864,              0.0073864
                    135,                 0.5749,                0.52474,                 1.0944,                0.88594,                0.85478,                0.89269,                0.72774,                0.76506,                0.65798,                 1.3096,              0.0073666,              0.0073666,              0.0073666
                    136,                0.58194,                0.53267,                 1.1033,                0.90507,                0.83497,                0.89474,                0.72446,                0.76306,                0.64361,                 1.3203,              0.0073468,              0.0073468,              0.0073468
                    137,                0.57684,                0.52647,                 1.1002,                0.88156,                0.84757,                0.89409,                0.72046,                0.76617,                0.64612,                 1.3128,               0.007327,               0.007327,               0.007327
                    138,                0.58284,                0.52276,                 1.0969,                0.87335,                0.85981,                0.89093,                0.70667,                0.78022,                0.66535,                 1.3218,              0.0073072,              0.0073072,              0.0073072
