                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.63074,                 0.6311,                 1.1292,                0.89977,                0.73674,                0.82048,                0.67169,                0.75257,                0.83965,                 1.2801,               0.008119,               0.008119,               0.008119
                     98,                0.61604,                0.63383,                  1.129,                0.85194,                0.77075,                0.83437,                0.68997,                0.71963,                0.80353,                 1.2388,              0.0080992,              0.0080992,              0.0080992
                     99,                 0.6189,                0.63388,                 1.1216,                 0.8452,                0.77829,                0.82821,                0.67504,                0.73756,                0.80919,                 1.2523,              0.0080794,              0.0080794,              0.0080794
                    100,                0.61358,                0.61986,                 1.1182,                0.85954,                0.78795,                0.83296,                0.68376,                0.76093,                0.81357,                 1.2713,              0.0080596,              0.0080596,              0.0080596
                    101,                 0.6144,                0.62859,                 1.1204,                0.85964,                0.76798,                0.82572,                0.68097,                0.74265,                0.84011,                 1.2594,              0.0080398,              0.0080398,              0.0080398
                    102,                0.60948,                0.60884,                 1.1207,                0.86474,                0.77871,                0.84191,                0.69192,                  0.738,                0.78721,                 1.2597,                0.00802,                0.00802,                0.00802
                    103,                0.60902,                 0.6156,                 1.1163,                0.84112,                0.78872,                0.83274,                0.68184,                0.75078,                0.82319,                 1.2706,              0.0080002,              0.0080002,              0.0080002
                    104,                 0.6087,                0.60196,                 1.1137,                0.86007,                0.78176,                0.83441,                0.69147,                0.74117,                0.76738,                 1.2467,              0.0079804,              0.0079804,              0.0079804
                    105,                0.60003,                 0.5985,                  1.104,                0.85492,                0.78661,                0.83883,                0.70665,                0.72325,                0.77496,                 1.2367,              0.0079606,              0.0079606,              0.0079606
                    106,                0.59949,                0.61126,                 1.1108,                0.85417,                0.80437,                0.83972,                0.69629,                0.73475,                0.77728,                 1.2525,              0.0079408,              0.0079408,              0.0079408
                    107,                0.60893,                0.60806,                 1.1177,                0.84818,                0.80249,                0.83708,                0.69313,                 0.7271,                0.77725,                 1.2403,               0.007921,               0.007921,               0.007921
                    108,                0.60024,                0.60545,                 1.1153,                0.85938,                0.79211,                0.84136,                0.69447,                  0.717,                0.78502,                 1.2324,              0.0079012,              0.0079012,              0.0079012
                    109,                0.60442,                0.58806,                 1.1165,                0.85926,                0.79365,                0.84195,                 0.6963,                0.74039,                 0.7905,                 1.2596,              0.0078814,              0.0078814,              0.0078814
                    110,                 0.6107,                0.61353,                 1.1114,                0.87864,                0.78191,                0.84213,                0.70043,                0.74534,                0.79572,                 1.2662,              0.0078616,              0.0078616,              0.0078616
                    111,                0.59676,                0.59511,                 1.1088,                0.83654,                 0.8043,                0.84285,                0.69784,                0.73281,                0.77853,                 1.2573,              0.0078418,              0.0078418,              0.0078418
                    112,                0.59697,                0.59323,                 1.0996,                0.88383,                0.77118,                0.83824,                0.69572,                0.74661,                0.81352,                  1.262,               0.007822,               0.007822,               0.007822
                    113,                0.59705,                0.58451,                 1.1113,                0.87608,                0.77299,                0.83475,                0.70317,                 0.7252,                0.79376,                 1.2387,              0.0078022,              0.0078022,              0.0078022
                    114,                 0.6051,                0.59323,                 1.1052,                 0.8618,                0.79234,                0.84429,                0.71206,                 0.7187,                0.79308,                 1.2378,              0.0077824,              0.0077824,              0.0077824
                    115,                0.59077,                0.58443,                 1.0968,                 0.8797,                0.76892,                 0.8393,                0.70163,                0.71242,                0.82064,                 1.2333,              0.0077626,              0.0077626,              0.0077626
                    116,                0.59435,                0.57597,                  1.102,                0.83667,                0.80109,                0.83463,                0.69756,                0.73762,                0.80079,                 1.2539,              0.0077428,              0.0077428,              0.0077428
                    117,                0.59299,                0.59266,                 1.1097,                0.85362,                0.78862,                0.83991,                0.70275,                0.70823,                  0.778,                  1.225,               0.007723,               0.007723,               0.007723
